|WQNHOP |ROW_COUNT|DISTINCT_NOTENDUR_COUNT|TEG_STM_COUNT|STARFSM_COUNT|NOT_STARFSM_COUNT|NOTENDUR_LIST                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|INNLOGN|15       |15                     |10           |15           |0                |jakobr    , LAXBEH    , LAXBRY    , LAXHEA    , LAXIBH    , LAXJMR    , LAXOLA    , LAXTII    , LTMBKR    , LTMGOD    , LTMHSJ    , LTMOOI    , LTMRAH    , LTMTHJ    , LTMTRT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|KAUPOKU|2        |2                      |0            |2            |0                |LAXHEA    , LAXSKU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|LifTjon|7        |7                      |7            |7            |0                |LTMBKA    , LTMBOL    , LTMDRA    , LTMIBS    , LTMSEB    , LTMSGF    , LTMVPS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|LAN1   |5        |5                      |0            |5            |0                |HOLMGEIR  , LAXAMS    , LAXEHM    , LAXGUH    , LAXMLH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|LAN2   |14       |14                     |0            |13           |1                |EGGERT    , GUDMUNDRG , LAXGUN    , LAXHAL    , LAXJOK    , LAXODD    , LAXSIG    , LAXTHH    , LAXUNN    , LAXVGE    , LTMRDS    , LTVKMG    , OLAFURP   , VIDAR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|LAN3   |5        |5                      |0            |5            |0                |AGUSTK    , ELINB     , GEK       , LTVKMG    , OLAFURP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|LIFNID |4        |4                      |4            |4            |0                |LTMABE    , LTMSJO    , LTMSOF    , LTMVOF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|LIFUTG |13       |13                     |10           |13           |0                |xbakvinn  , LAXBJO    , LAXGPG    , LAXOLA    , LAXOTY    , LTMHAS    , LTMHAU    , LTMHGR    , LTMHTG    , LTMIBG    , LTMKAS    , LTMSSC    , LTMTSI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|NTIAPI |3        |3                      |2            |3            |0                |xntiapi01 , LAXOLA    , LTMOOI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|ROSTEST|2        |2                      |2            |2            |0                |LTMHTG    , LTMOOI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|SÖLGJD1|86       |86                     |35           |80           |6                |kristin   , ltvabj    , ltvbha    , olafurty  , uipath01  , xbakvinn  , xrosin2   , xstarf01  , xstarf02  , ARNAG     , ELINBORG  , GUDMUNDA  , HRONN     , LAAAGA    , LAAKPG    , LACHME    , LACTHH    , LAFASI    , LAFGUH    , LAFTHO    , LAGANG    , LAGEOM    , LAGHSI    , LAIESB    , LAMGSI    , LAMJMP    , LAOFAR    , LARHRJ    , LAURBH    , LAUSGT    , LAVMBJ    , LAVSHG    , LAXARN    , LAXBEH    , LAXBRY    , LAXEKB    , LAXESK    , LAXGYL    , LAXHBH    , LAXHEA    , LAXHHT    , LAXIBH    , LAXJTS    , LAXJVO    , LAXKRI    , LAXMTG    , LAXOTY    , LAXRAK    , LAXRLG    , LAXSBR    , LAXSKU    , LAXTHH    , LAXTII    , LLBHTH    , LLBVGU    , LTMARG    , LTMBKR    , LTMFAS    , LTMGHK    , LTMGOD    , LTMHAS    , LTMHAU    , LTMHGR    , LTMHSJ    , LTMHTG    , LTMIBG    , LTMIBS    , LTMKAS    , LTMKGU    , LTMKVI    , LTMKYJ    , LTMMHI    , LTMOBH    , LTMOOI    , LTMRAH    , LTMSBJ    , LTMSSC    , LTMTHJ    , LTMTRT    , LTMVLI    , LTVFJO    , LTVGFA    , L60SRI    , L67HHT    , L72GOO    , L82VGU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|SÖLGJD2|1        |1                      |0            |1            |0                |ltvrab                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|SÖLGJD3|3        |3                      |3            |3            |0                |fme01     , LTMEHS    , LTMKGU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|SLSJADM|8        |8                      |8            |8            |0                |LAXOLA    , LTMHAS    , LTMHGR    , LTMKAS    , LTMKEI    , LTMSSC    , LTMSSI    , LTMTSI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|SOLLEID|24       |24                     |12           |24           |0                |jakobr    , LAXAMS    , LAXBEH    , LAXEHM    , LAXGYL    , LAXHEA    , LAXIBH    , LAXJMR    , LAXODD    , LAXOTY    , LAXSKU    , LAXTHH    , LAXTII    , LTMGOD    , LTMHAU    , LTMHGR    , LTMHTG    , LTMIBG    , LTMKAS    , LTMKGU    , LTMOOI    , LTMSBJ    , LTMSSC    , LTMTRT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|SPATIL |15       |15                     |0            |0            |15               |ltduna    , ltgudny   , ltkrstjt  , ltkrstni  , ltolaf    , ltsigurdur, ltstanley , lttrausti , lt211174  , sigmar.rad, tr221084  , tr240690  , LAVEOG    , LAVHKS    , LTVMTG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|SVGROS |70       |70                     |28           |69           |1                |jakobr    , ARNAG     , LAAAGA    , LAAKPG    , LACHME    , LACTHH    , LAFASI    , LAFGUH    , LAFTHO    , LAGANG    , LAGEOM    , LAGHSI    , LAIESB    , LAMGSI    , LAMJMP    , LAOFAR    , LARHRJ    , LAURBH    , LAUSGT    , LAVMBJ    , LAVSHG    , LAXARN    , LAXBEH    , LAXBJO    , LAXBRY    , LAXESK    , LAXGYL    , LAXHBH    , LAXHEA    , LAXHHT    , LAXIBH    , LAXJMR    , LAXJTS    , LAXJVO    , LAXOLA    , LAXRAK    , LAXRLG    , LAXSBR    , LLBHTH    , LLBVGU    , LTMABE    , LTMARG    , LTMBKR    , LTMESI    , LTMETO    , LTMGOD    , LTMHAS    , LTMHAU    , LTMHGP    , LTMHGR    , LTMHSJ    , LTMIBG    , LTMKAS    , LTMKEI    , LTMOOI    , LTMRAH    , LTMSJO    , LTMSOF    , LTMSON    , LTMSSC    , LTMSSI    , LTMTHJ    , LTMTRT    , LTMTSI    , LTMVGU    , LTVGFA    , L60SRI    , L67HHT    , L72GOO    , L82VGU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|SVGROS2|57       |57                     |8            |57           |0                |LAAAGA    , LAAKPG    , LACHME    , LACTHH    , LAFASI    , LAFGUH    , LAFTHO    , LAGANG    , LAGEOM    , LAGHSI    , LAIESB    , LAMGSI    , LAMJMP    , LAOFAR    , LARHRJ    , LAURBH    , LAUSGT    , LAVMBJ    , LAVSHG    , LAXAMS    , LAXARN    , LAXBEH    , LAXEHM    , LAXESK    , LAXGUH    , LAXGUN    , LAXHAL    , LAXHBH    , LAXHHT    , LAXJOK    , LAXJTS    , LAXJVO    , LAXMLH    , LAXODD    , LAXRAK    , LAXRLG    , LAXSBR    , LAXSIG    , LAXSKU    , LAXTHH    , LAXUNN    , LAXVGE    , LLBHTH    , LLBVGU    , LTMBOL    , LTMETO    , LTMHTG    , LTMKEI    , LTMKGU    , LTMSBJ    , LTMSSC    , LTMSSI    , LTVGFA    , L60SRI    , L67HHT    , L72GOO    , L82VGU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|Taekisa|3        |3                      |0            |0            |3                |67555     , 69967     , 69968                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|TjDeild|18       |18                     |17           |17           |1                |xbakvinn  , LTMABE    , LTMBKA    , LTMBOL    , LTMBVI    , LTMFDG    , LTMGHA    , LTMHAU    , LTMHGR    , LTMIBG    , LTMIBS    , LTMSBJ    , LTMSGF    , LTMSJO    , LTMSOF    , LTMTRO    , LTMVPS    , THORUNN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|TINDGRU|161      |161                    |92           |157          |4                |fme01     , jakobr    , kristin   , ltvabj    , ltvbha    , ltvrab    , uipath01  , vbergur   , xbakvinn  , xrosin2   , xstarf01  , xstarf02  , ARNAG     , ELIASAK   , ELINB     , GEK       , LAAAGA    , LAAKPG    , LACHME    , LACTHH    , LAFASI    , LAFGUH    , LAFTHO    , LAGANG    , LAGEOM    , LAGHSI    , LAIESB    , LAMGSI    , LAMJMP    , LAOFAR    , LARHRJ    , LAURBH    , LAUSGT    , LAVMBJ    , LAVSHG    , LAXAMS    , LAXARN    , LAXBEH    , LAXBJO    , LAXBRY    , LAXDHA    , LAXEHM    , LAXEKB    , LAXESK    , LAXGPG    , LAXGUH    , LAXGUN    , LAXGYL    , LAXHAL    , LAXHBH    , LAXHEA    , LAXHHT    , LAXIBH    , LAXJMR    , LAXJOK    , LAXJTS    , LAXJVO    , LAXKRI    , LAXMLH    , LAXMTG    , LAXODD    , LAXOLA    , LAXOTY    , LAXRAK    , LAXRLG    , LAXSBR    , LAXSIG    , LAXSKU    , LAXTHH    , LAXTHO    , LAXTII    , LAXUNN    , LAXVAL    , LAXVAS    , LAXVGE    , LLBHTH    , LLBVGU    , LTMAAN    , LTMABE    , LTMAFG    , LTMAGI    , LTMAHJ    , LTMARG    , LTMAVR    , LTMBJJ    , LTMBJO    , LTMBKA    , LTMBKR    , LTMBOL    , LTMBVI    , LTMDRA    , LTMEAA    , LTMEGU    , LTMEHS    , LTMERU    , LTMESI    , LTMETO    , LTMFDG    , LTMGGY    , LTMGHA    , LTMGHK    , LTMGHR    , LTMGOD    , LTMGOM    , LTMGTG    , LTMGTO    , LTMGUE    , LTMHAS    , LTMHAU    , LTMHES    , LTMHGP    , LTMHGR    , LTMHSJ    , LTMHTG    , LTMHYP    , LTMIBG    , LTMIBS    , LTMJIS    , LTMJRG    , LTMKAS    , LTMKEI    , LTMKGU    , LTMKOL    , LTMKVI    , LTMKYJ    , LTMMHI    , LTMNOL    , LTMOBH    , LTMODT    , LTMOHO    , LTMOOI    , LTMOTO    , LTMPHP    , LTMRAH    , LTMRDS    , LTMSBJ    , LTMSEB    , LTMSGF    , LTMSIN    , LTMSJO    , LTMSOF    , LTMSON    , LTMSSC    , LTMSSI    , LTMSVS    , LTMTHJ    , LTMTRO    , LTMTRT    , LTMTSI    , LTMVGU    , LTMVLI    , LTMVOF    , LTMVPS    , LTVGFA    , LUTRPE    , L60SRI    , L67HHT    , L72GOO    , L82VGU    , OLAFURP   , VIDAR     |
